step, fire_count, ashes_count, grass_count, forest_count, ground_count, water_count, 
0, 35, 1, 16350, 11885, 4523, 27236
10, 135, 51, 16298, 11787, 4523, 27236
20, 163, 51, 16292, 11765, 4523, 27236
30, 181, 51, 16286, 11753, 4523, 27236
40, 197, 51, 16279, 11744, 4523, 27236
50, 207, 51, 16275, 11738, 4523, 27236
60, 221, 53, 16271, 11726, 4523, 27236
70, 235, 53, 16265, 11718, 4523, 27236
80, 259, 53, 16255, 11704, 4523, 27236
90, 306, 67, 16232, 11666, 4523, 27236
100, 345, 71, 16213, 11642, 4523, 27236
110, 394, 75, 16191, 11611, 4523, 27236
120, 422, 77, 16183, 11589, 4523, 27236
130, 330, 194, 16178, 11569, 4523, 27236
140, 339, 213, 16170, 11549, 4523, 27236
150, 341, 238, 16161, 11531, 4523, 27236
160, 351, 260, 16153, 11507, 4523, 27236
170, 368, 277, 16139, 11487, 4523, 27236
180, 405, 293, 16122, 11451, 4523, 27236
190, 439, 311, 16105, 11416, 4523, 27236
200, 483, 330, 16083, 11375, 4523, 27236
210, 508, 351, 16057, 11355, 4523, 27236
220, 509, 383, 16045, 11334, 4523, 27236
230, 519, 413, 16036, 11303, 4523, 27236
240, 519, 465, 16023, 11264, 4523, 27236
250, 531, 497, 16004, 11239, 4523, 27236
260, 546, 531, 15988, 11206, 4523, 27236
270, 557, 561, 15977, 11176, 4523, 27236
280, 577, 594, 15962, 11138, 4523, 27236
290, 597, 621, 15941, 11112, 4523, 27236
300, 618, 657, 15927, 11069, 4523, 27236
310, 629, 701, 15911, 11030, 4523, 27236
320, 617, 746, 15909, 10999, 4523, 27236
330, 626, 797, 15893, 10955, 4523, 27236
340, 634, 844, 15876, 10917, 4523, 27236
350, 638, 889, 15860, 10884, 4523, 27236
360, 644, 930, 15841, 10856, 4523, 27236
370, 635, 970, 15830, 10836, 4523, 27236
380, 626, 1014, 15816, 10815, 4523, 27236
390, 624, 1054, 15805, 10788, 4523, 27236
400, 630, 1097, 15789, 10755, 4523, 27236
410, 636, 1153, 15768, 10714, 4523, 27236
420, 642, 1209, 15744, 10676, 4523, 27236
430, 646, 1258, 15721, 10646, 4523, 27236
440, 653, 1306, 15702, 10610, 4523, 27236
450, 656, 1365, 15678, 10572, 4523, 27236
460, 646, 1415, 15669, 10541, 4523, 27236
470, 658, 1462, 15649, 10502, 4523, 27236
480, 670, 1518, 15623, 10460, 4523, 27236
490, 694, 1566, 15594, 10417, 4523, 27236
500, 715, 1606, 15570, 10380, 4523, 27236
510, 741, 1646, 15543, 10341, 4523, 27236
520, 762, 1685, 15524, 10300, 4523, 27236
530, 805, 1720, 15495, 10251, 4523, 27236
540, 832, 1776, 15460, 10203, 4523, 27236
550, 852, 1818, 15436, 10165, 4523, 27236
560, 844, 1880, 15419, 10128, 4523, 27236
570, 839, 1943, 15398, 10091, 4523, 27236
580, 839, 1998, 15384, 10050, 4523, 27236
590, 848, 2045, 15361, 10017, 4523, 27236
600, 830, 2112, 15348, 9981, 4523, 27236
610, 828, 2176, 15324, 9943, 4523, 27236
620, 813, 2237, 15311, 9910, 4523, 27236
630, 811, 2304, 15286, 9870, 4523, 27236
640, 820, 2365, 15261, 9825, 4523, 27236
650, 803, 2442, 15238, 9788, 4523, 27236
660, 798, 2517, 15201, 9755, 4523, 27236
670, 791, 2590, 15173, 9717, 4523, 27236
680, 795, 2661, 15137, 9678, 4523, 27236
690, 812, 2722, 15103, 9634, 4523, 27236
700, 838, 2778, 15064, 9591, 4523, 27236
710, 851, 2831, 15044, 9545, 4523, 27236
720, 866, 2883, 15019, 9503, 4523, 27236
730, 911, 2931, 14977, 9452, 4523, 27236
740, 956, 2983, 14936, 9396, 4523, 27236
750, 978, 3040, 14904, 9349, 4523, 27236
760, 1017, 3116, 14848, 9290, 4523, 27236
770, 1070, 3199, 14778, 9224, 4523, 27236
780, 1137, 3263, 14713, 9158, 4523, 27236
790, 1204, 3347, 14630, 9090, 4523, 27236
800, 1323, 3423, 14533, 8992, 4523, 27236
810, 1455, 3512, 14419, 8885, 4523, 27236
820, 1592, 3620, 14282, 8777, 4523, 27236
830, 1741, 3708, 14163, 8659, 4523, 27236
840, 1901, 3808, 14033, 8529, 4523, 27236
850, 2119, 3946, 13835, 8371, 4523, 27236
860, 2356, 4056, 13625, 8234, 4523, 27236
870, 2592, 4201, 13371, 8107, 4523, 27236
880, 2903, 4369, 13074, 7925, 4523, 27236
890, 3232, 4527, 12756, 7756, 4523, 27236
900, 3523, 4727, 12411, 7610, 4523, 27236
