step, fire_count, ashes_count, grass_count, forest_count, ground_count, water_count, 
0, 35, 1, 16350, 11885, 4523, 27236
10, 141, 104, 16283, 11743, 4523, 27236
20, 165, 115, 16267, 11724, 4523, 27236
30, 201, 125, 16251, 11694, 4523, 27236
40, 223, 132, 16239, 11677, 4523, 27236
50, 270, 141, 16220, 11640, 4523, 27236
60, 325, 144, 16198, 11604, 4523, 27236
70, 390, 146, 16176, 11559, 4523, 27236
80, 475, 166, 16141, 11489, 4523, 27236
90, 549, 170, 16106, 11446, 4523, 27236
100, 605, 174, 16089, 11403, 4523, 27236
110, 646, 177, 16073, 11375, 4523, 27236
120, 690, 179, 16064, 11338, 4523, 27236
130, 610, 298, 16055, 11308, 4523, 27236
140, 654, 308, 16037, 11272, 4523, 27236
150, 728, 338, 16004, 11201, 4523, 27236
160, 801, 370, 15969, 11131, 4523, 27236
170, 866, 396, 15941, 11068, 4523, 27236
180, 906, 440, 15914, 11011, 4523, 27236
190, 945, 495, 15873, 10958, 4523, 27236
200, 1027, 571, 15808, 10865, 4523, 27236
210, 1092, 639, 15752, 10788, 4523, 27236
220, 1173, 731, 15691, 10676, 4523, 27236
230, 1237, 821, 15640, 10573, 4523, 27236
240, 1293, 895, 15589, 10494, 4523, 27236
250, 1343, 958, 15551, 10419, 4523, 27236
260, 1437, 1020, 15492, 10322, 4523, 27236
270, 1512, 1083, 15440, 10236, 4523, 27236
280, 1583, 1141, 15391, 10156, 4523, 27236
290, 1638, 1243, 15316, 10074, 4523, 27236
300, 1793, 1363, 15181, 9934, 4523, 27236
310, 1915, 1503, 15068, 9785, 4523, 27236
320, 2172, 1696, 14819, 9584, 4523, 27236
330, 2606, 1954, 14439, 9272, 4523, 27236
340, 3112, 2250, 13964, 8945, 4523, 27236
350, 3870, 2750, 13162, 8489, 4523, 27236
360, 4628, 3265, 12297, 8081, 4523, 27236
370, 5286, 3695, 11502, 7788, 4523, 27236
380, 6141, 4276, 10408, 7446, 4523, 27236
390, 7125, 4864, 9269, 7013, 4523, 27236
400, 8244, 5514, 8018, 6495, 4523, 27236
410, 8993, 5954, 7244, 6080, 4523, 27236
420, 9955, 6500, 6271, 5545, 4523, 27236
430, 10875, 7068, 5216, 5112, 4523, 27236
440, 11727, 7541, 4342, 4661, 4523, 27236
450, 12295, 8024, 3730, 4222, 4523, 27236
460, 12777, 8543, 3178, 3773, 4523, 27236
470, 13091, 9149, 2707, 3324, 4523, 27236
480, 13192, 9822, 2305, 2952, 4523, 27236
490, 13090, 10540, 1988, 2653, 4523, 27236
500, 12833, 11307, 1721, 2410, 4523, 27236
510, 12334, 12107, 1578, 2252, 4523, 27236
520, 11707, 13068, 1429, 2067, 4523, 27236
530, 10893, 14074, 1348, 1956, 4523, 27236
540, 10075, 15037, 1289, 1870, 4523, 27236
550, 9122, 16096, 1247, 1806, 4523, 27236
560, 8188, 17088, 1219, 1776, 4523, 27236
570, 7130, 18175, 1203, 1763, 4523, 27236
580, 6184, 19147, 1193, 1747, 4523, 27236
590, 5251, 20087, 1189, 1744, 4523, 27236
600, 4375, 20968, 1185, 1743, 4523, 27236
610, 3620, 21725, 1184, 1742, 4523, 27236
620, 2892, 22455, 1183, 1741, 4523, 27236
630, 2214, 23134, 1182, 1741, 4523, 27236
640, 1665, 23683, 1182, 1741, 4523, 27236
650, 1210, 24139, 1182, 1740, 4523, 27236
660, 875, 24474, 1182, 1740, 4523, 27236
670, 627, 24722, 1182, 1740, 4523, 27236
680, 418, 24931, 1182, 1740, 4523, 27236
690, 253, 25096, 1182, 1740, 4523, 27236
700, 167, 25182, 1182, 1740, 4523, 27236
710, 105, 25244, 1182, 1740, 4523, 27236
720, 72, 25277, 1182, 1740, 4523, 27236
730, 41, 25308, 1182, 1740, 4523, 27236
740, 20, 25329, 1182, 1740, 4523, 27236
750, 10, 25339, 1182, 1740, 4523, 27236
760, 4, 25345, 1182, 1740, 4523, 27236
770, 1, 25348, 1182, 1740, 4523, 27236
780, 0, 25349, 1182, 1740, 4523, 27236
